customer_name,date_spec,use_type,volume,brand_name,uom_code,version_type
DROGUERIAS CRUZ VERDE S A S,01/04/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,CHWI A PPX,105,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,CHWI B PPX,180,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,CHWI A OD,753,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,CHWI B OD,470,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,HA,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,CHWI A PPX,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,CHWI B PPX,508,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,CHWI A OD,220,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,CHWI B OD,300,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,HA,92,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,CHWI A PPX,108,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,CHWI B PPX,208,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,CHWI A OD,2189,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,CHWI B OD,400,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,HA,18,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,CHWI A PPX,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,CHWI B PPX,508,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,CHWI A OD,100,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,CHWI B OD,400,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,HA,290,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,CHWI A PPX,138,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,CHWI B PPX,140,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,CHWI A OD,788,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,CHWI B OD,800,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,TG,80,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,HA,128,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2023,OTHER,80,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,CHWI A PPX,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,CHWI B PPX,508,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,CHWI A OD,150,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,CHWI B OD,300,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,HA,267,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/12/2023,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,CHWI A PPX,208,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,CHWI B PPX,335,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,CHWI A OD,86,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,CHWI B OD,690,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,HA,107,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,DFVII,12,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2024,OTHER,16,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,CHWI A PPX,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,CHWI B PPX,508,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,CHWI A OD,100,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,CHWI B OD,200,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,CHWI CX,21.6,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,HA,257,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/05/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/06/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,CHWI A PPX,188,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,CHWI B PPX,466,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,CHWI A OD,64,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,CHWI B OD,0,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,HA,170,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/07/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,CHWI A PPX,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,CHWI B PPX,508,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,CHWI A OD,110,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,CHWI B OD,250,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,HA,95,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/08/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/09/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/10/2024,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2024,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2024,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2024,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2024,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2024,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/11/2024,TG,,N7,MG,AB
